length,confidence,support,rule
2,0.01,0.01,971 -> 1014
2,0.02,0.02,971 -> 976
2,0.02,0.02,971 -> 972
2,0.04,0.03,971 -> 977
2,0.04,0.03,971 -> 970
2,0.07,0.05,971 -> 973
2,0.07,0.05,971 -> 997
2,0.07,0.05,971 -> 974
2,0.08,0.01,978 -> 972
2,0.09,0.01,978 -> 976
2,0.10,0.01,973 -> 976
2,0.10,0.01,973 -> 972
2,0.11,0.01,997 -> 973
2,0.11,0.09,971 -> 978
2,0.12,0.01,973 -> 977
2,0.12,0.01,973 -> 997
2,0.12,0.01,997 -> 970
2,0.13,0.01,997 -> 977
2,0.15,0.02,973 -> 970
2,0.17,0.02,973 -> 974
2,0.17,0.02,974 -> 973
2,0.17,0.03,978 -> 977
2,0.17,0.03,978 -> 973
2,0.20,0.03,978 -> 970
2,0.20,0.02,974 -> 970
2,0.22,0.02,974 -> 977
2,0.23,0.04,978 -> 997
2,0.25,0.01,970 -> 972
2,0.25,0.01,970 -> 976
2,0.25,0.03,973 -> 978
2,0.27,0.01,977 -> 973
2,0.28,0.04,978 -> 974
2,0.29,0.01,970 -> 997
2,0.31,0.03,997 -> 974
2,0.31,0.01,977 -> 997
2,0.32,0.04,997 -> 978
2,0.33,0.02,970 -> 973
2,0.34,0.03,974 -> 997
2,0.37,0.02,977 -> 970
2,0.38,0.02,970 -> 977
2,0.38,0.01,1014 -> 971
2,0.41,0.01,972 -> 973
2,0.42,0.04,974 -> 978
2,0.43,0.01,976 -> 973
2,0.45,0.01,972 -> 970
2,0.45,0.02,970 -> 974
2,0.47,0.05,997 -> 971
2,0.48,0.01,976 -> 970
2,0.48,0.05,973 -> 971
2,0.49,0.02,977 -> 974
2,0.51,0.01,972 -> 978
2,0.53,0.05,974 -> 971
2,0.56,0.09,978 -> 971
2,0.57,0.03,977 -> 978
2,0.57,0.01,976 -> 978
2,0.62,0.03,977 -> 971
2,0.66,0.03,970 -> 978
2,0.66,0.02,972 -> 971
2,0.68,0.03,970 -> 971
2,0.69,0.02,976 -> 971
3,0.01,0.01,971 -> 976 970
3,0.01,0.01,971 -> 997 973
3,0.01,0.01,971 -> 997 970
3,0.01,0.01,971 -> 977 973
3,0.01,0.01,971 -> 997 977
3,0.01,0.01,971 -> 972 978
3,0.02,0.01,971 -> 976 978
3,0.02,0.01,971 -> 973 970
3,0.02,0.01,971 -> 977 970
3,0.02,0.01,971 -> 974 973
3,0.02,0.02,971 -> 974 970
3,0.02,0.02,971 -> 977 974
3,0.03,0.02,971 -> 977 978
3,0.03,0.02,971 -> 997 974
3,0.03,0.02,971 -> 978 973
3,0.03,0.02,971 -> 978 970
3,0.03,0.03,971 -> 997 978
3,0.04,0.03,971 -> 978 974
3,0.07,0.01,978 -> 976 970
3,0.07,0.01,978 -> 977 973
3,0.07,0.01,978 -> 997 970
3,0.07,0.01,978 -> 997 977
3,0.07,0.01,978 -> 972 971
3,0.08,0.01,978 -> 976 971
3,0.08,0.01,978 -> 973 970
3,0.09,0.01,978 -> 974 973
3,0.09,0.01,997 -> 974 970
3,0.09,0.01,997 -> 973 971
3,0.10,0.01,997 -> 971 970
3,0.10,0.01,997 -> 977 974
3,0.10,0.01,978 -> 977 970
3,0.10,0.01,997 -> 978 970
3,0.10,0.01,997 -> 977 978
3,0.10,0.01,973 -> 977 978
3,0.10,0.01,973 -> 997 971
3,0.10,0.01,997 -> 977 971
3,0.10,0.01,974 -> 997 970
3,0.10,0.01,974 -> 997 977
3,0.11,0.01,973 -> 977 971
3,0.11,0.02,978 -> 974 970
3,0.11,0.02,978 -> 977 974
3,0.12,0.01,973 -> 978 970
3,0.12,0.01,974 -> 977 970
3,0.13,0.01,973 -> 978 974
3,0.13,0.01,973 -> 971 970
3,0.13,0.01,978 971 -> 972
3,0.13,0.01,974 -> 978 973
3,0.13,0.02,978 -> 997 974
3,0.14,0.02,978 -> 977 971
3,0.14,0.01,978 971 -> 976
3,0.14,0.01,973 -> 974 971
3,0.14,0.01,974 -> 973 971
3,0.15,0.02,978 -> 973 971
3,0.16,0.02,978 -> 971 970
3,0.16,0.02,974 -> 971 970
3,0.17,0.02,974 -> 978 970
3,0.17,0.03,978 -> 997 971
3,0.17,0.02,974 -> 977 971
3,0.17,0.02,974 -> 977 978
3,0.19,0.02,997 -> 978 974
3,0.20,0.01,997 971 -> 973
3,0.20,0.02,997 -> 974 971
3,0.20,0.01,997 971 -> 970
3,0.20,0.02,974 -> 997 978
3,0.20,0.01,973 971 -> 997
3,0.21,0.01,997 971 -> 977
3,0.21,0.03,978 -> 974 971
3,0.22,0.02,974 -> 997 971
3,0.22,0.02,973 -> 978 971
3,0.22,0.01,970 -> 997 974
3,0.22,0.01,973 971 -> 977
3,0.22,0.01,970 -> 976 978
3,0.22,0.01,977 -> 978 973
3,0.22,0.01,970 -> 976 971
3,0.23,0.01,977 -> 997 974
3,0.23,0.01,970 -> 997 971
3,0.23,0.01,977 -> 997 978
3,0.23,0.01,970 -> 997 978
3,0.24,0.01,977 -> 973 971
3,0.24,0.01,977 -> 997 971
3,0.24,0.03,997 -> 978 971
3,0.25,0.02,978 971 -> 977
3,0.26,0.02,978 971 -> 973
3,0.26,0.01,973 971 -> 970
3,0.27,0.01,977 -> 974 970
3,0.27,0.01,970 -> 977 974
3,0.27,0.01,970 -> 978 973
3,0.27,0.01,974 971 -> 973
3,0.28,0.02,978 971 -> 970
3,0.29,0.01,970 -> 973 971
3,0.29,0.01,973 971 -> 974
3,0.29,0.01,997 974 -> 970
3,0.30,0.01,997 978 -> 970
3,0.30,0.01,997 978 -> 977
3,0.31,0.03,978 971 -> 997
3,0.31,0.01,978 974 -> 973
3,0.31,0.01,977 -> 971 970
3,0.31,0.02,974 971 -> 970
3,0.31,0.01,997 974 -> 977
3,0.31,0.01,970 -> 977 971
3,0.32,0.01,977 -> 978 970
3,0.32,0.03,974 -> 978 971
3,0.32,0.01,971 970 -> 976
3,0.32,0.01,970 -> 977 978
3,0.32,0.02,974 971 -> 977
3,0.33,0.01,978 970 -> 976
3,0.34,0.01,971 970 -> 997
3,0.36,0.01,978 970 -> 997
3,0.36,0.02,970 -> 974 971
3,0.37,0.02,970 -> 978 974
3,0.38,0.03,978 971 -> 974
3,0.38,0.02,977 -> 974 971
3,0.38,0.02,977 -> 978 974
3,0.38,0.01,977 971 -> 973
3,0.38,0.01,977 971 -> 997
3,0.38,0.01,978 973 -> 977
3,0.39,0.01,977 978 -> 973
3,0.39,0.02,978 974 -> 970
3,0.41,0.02,978 974 -> 977
3,0.41,0.02,974 971 -> 997
3,0.41,0.01,978 970 -> 973
3,0.41,0.01,977 978 -> 997
3,0.42,0.01,976 -> 978 970
3,0.42,0.02,997 971 -> 974
3,0.42,0.01,976 -> 971 970
3,0.42,0.01,971 970 -> 973
3,0.44,0.01,972 -> 978 971
3,0.45,0.02,973 971 -> 978
3,0.45,0.02,977 -> 978 971
3,0.45,0.01,971 970 -> 977
3,0.46,0.01,977 974 -> 997
3,0.47,0.01,978 973 -> 970
3,0.48,0.02,978 974 -> 997
3,0.48,0.01,974 970 -> 997
3,0.49,0.01,978 970 -> 977
3,0.49,0.01,976 -> 978 971
3,0.49,0.01,977 971 -> 970
3,0.50,0.01,978 973 -> 974
3,0.50,0.03,997 971 -> 978
3,0.53,0.02,971 970 -> 974
3,0.53,0.02,970 -> 978 971
3,0.55,0.01,977 974 -> 970
3,0.55,0.02,978 970 -> 974
3,0.56,0.01,977 978 -> 970
3,0.57,0.02,997 978 -> 974
3,0.60,0.01,974 970 -> 977
3,0.60,0.02,977 971 -> 974
3,0.60,0.03,974 971 -> 978
3,0.61,0.02,997 974 -> 978
3,0.61,0.01,976 971 -> 970
3,0.64,0.02,997 974 -> 971
3,0.66,0.02,977 978 -> 974
3,0.66,0.01,972 971 -> 978
3,0.72,0.01,976 971 -> 978
3,0.72,0.01,977 970 -> 974
3,0.73,0.01,997 977 -> 974
3,0.73,0.02,977 971 -> 978
3,0.73,0.01,976 978 -> 970
3,0.73,0.03,997 978 -> 971
3,0.75,0.01,997 977 -> 978
3,0.75,0.01,997 970 -> 974
3,0.75,0.01,974 973 -> 978
3,0.75,0.03,978 974 -> 971
3,0.75,0.01,997 977 -> 971
3,0.77,0.02,977 974 -> 971
3,0.77,0.02,977 974 -> 978
3,0.78,0.02,971 970 -> 978
3,0.79,0.01,997 970 -> 971
3,0.80,0.02,977 978 -> 971
3,0.80,0.02,974 970 -> 971
3,0.80,0.01,997 970 -> 978
3,0.81,0.02,978 970 -> 971
3,0.81,0.02,974 970 -> 978
3,0.82,0.01,977 973 -> 978
3,0.82,0.01,997 973 -> 971
3,0.82,0.01,973 970 -> 978
3,0.83,0.01,977 970 -> 971
3,0.84,0.01,974 973 -> 971
3,0.86,0.02,978 973 -> 971
3,0.86,0.01,977 970 -> 978
3,0.86,0.01,972 978 -> 971
3,0.86,0.01,976 978 -> 971
3,0.87,0.01,973 970 -> 971
3,0.87,0.01,976 970 -> 978
3,0.88,0.01,976 970 -> 971
3,0.88,0.01,977 973 -> 971
4,0.01,0.01,971 -> 977 974 970
4,0.01,0.01,971 -> 978 973 970
4,0.02,0.01,971 -> 978 974 973
4,0.02,0.01,971 -> 977 978 970
4,0.02,0.01,971 -> 978 974 970
4,0.02,0.01,971 -> 977 978 974
4,0.02,0.02,971 -> 997 978 974
4,0.07,0.01,978 -> 977 974 970
4,0.07,0.01,978 -> 973 971 970
4,0.08,0.01,978 -> 974 973 971
4,0.08,0.01,978 -> 977 971 970
4,0.09,0.01,978 -> 974 971 970
4,0.09,0.01,978 -> 977 974 971
4,0.10,0.01,974 -> 977 971 970
4,0.10,0.02,978 -> 997 974 971
4,0.11,0.01,974 -> 977 978 970
4,0.11,0.01,973 -> 978 971 970
4,0.11,0.01,973 -> 978 974 971
4,0.12,0.01,974 -> 978 973 971
4,0.13,0.01,978 971 -> 973 970
4,0.14,0.01,978 971 -> 974 973
4,0.14,0.01,974 -> 978 971 970
4,0.14,0.01,974 -> 977 978 971
4,0.14,0.02,997 -> 978 974 971
4,0.15,0.01,978 971 -> 977 970
4,0.16,0.02,974 -> 997 978 971
4,0.16,0.01,978 971 -> 974 970
4,0.17,0.01,978 971 -> 977 974
4,0.19,0.02,978 971 -> 997 974
4,0.20,0.01,974 971 -> 977 970
4,0.22,0.01,974 971 -> 978 973
4,0.23,0.01,973 971 -> 978 970
4,0.23,0.01,977 -> 974 971 970
4,0.23,0.01,970 -> 977 974 971
4,0.23,0.01,977 -> 978 974 970
4,0.24,0.01,973 971 -> 978 974
4,0.24,0.01,970 -> 977 978 974
4,0.25,0.01,970 -> 978 973 971
4,0.25,0.01,978 974 -> 977 970
4,0.26,0.01,974 971 -> 978 970
4,0.27,0.01,974 971 -> 977 978
4,0.27,0.01,977 -> 978 971 970
4,0.28,0.01,970 -> 977 978 971
4,0.28,0.01,978 974 -> 973 971
4,0.30,0.02,974 971 -> 997 978
4,0.30,0.02,997 971 -> 978 974
4,0.31,0.01,970 -> 978 974 971
4,0.31,0.01,977 -> 978 974 971
4,0.33,0.01,978 974 -> 971 970
4,0.33,0.01,971 970 -> 977 974
4,0.34,0.01,978 974 -> 977 971
4,0.36,0.01,971 970 -> 978 973
4,0.36,0.01,978 970 -> 977 974
4,0.36,0.01,977 971 -> 974 970
4,0.37,0.01,978 974 971 -> 973
4,0.37,0.02,978 974 -> 997 971
4,0.37,0.01,978 970 -> 973 971
4,0.40,0.01,971 970 -> 977 978
4,0.41,0.01,977 978 -> 974 970
4,0.42,0.01,978 970 -> 977 971
4,0.43,0.01,978 973 -> 971 970
4,0.43,0.01,977 971 -> 978 970
4,0.44,0.01,978 974 971 -> 970
4,0.44,0.02,997 978 -> 974 971
4,0.45,0.01,978 974 971 -> 977
4,0.45,0.01,978 973 -> 974 971
4,0.45,0.01,971 970 -> 978 974
4,0.46,0.01,977 974 -> 971 970
4,0.46,0.01,978 971 970 -> 973
4,0.47,0.01,978 970 -> 974 971
4,0.47,0.02,997 974 -> 978 971
4,0.48,0.01,977 978 -> 971 970
4,0.48,0.01,977 974 -> 978 970
4,0.49,0.02,978 974 971 -> 997
4,0.50,0.01,977 971 -> 978 974
4,0.50,0.01,978 973 971 -> 970
4,0.51,0.01,974 970 -> 977 971
