Support,Confidence,Rule
0.011,0.906,978 973 970 -> 971
0.012,0.904,978 974 973 -> 971
0.013,0.884,977 971 970 -> 978
0.011,0.882,977 973 -> 971
0.010,0.878,976 970 -> 971
0.011,0.876,977 974 970 -> 978
0.010,0.874,976 970 -> 978
0.013,0.872,973 970 -> 971
0.012,0.862,976 978 -> 971
0.011,0.859,972 978 -> 971
0.015,0.857,977 970 -> 978
0.011,0.856,973 971 970 -> 978
0.023,0.856,978 973 -> 971
0.013,0.853,977 978 970 -> 971
0.014,0.851,974 971 970 -> 978
0.011,0.844,977 974 970 -> 971
0.015,0.842,974 973 -> 971
0.014,0.841,978 974 970 -> 971
0.014,0.828,977 970 -> 971
0.014,0.827,977 974 971 -> 978
0.014,0.827,977 978 974 -> 971
0.013,0.824,973 970 -> 978
0.010,0.824,997 973 -> 971
0.010,0.819,977 973 -> 978
0.017,0.811,974 970 -> 978
0.012,0.808,974 973 971 -> 978
0.024,0.806,978 970 -> 971
0.011,0.805,997 970 -> 978
0.017,0.801,974 970 -> 971
0.021,0.800,977 978 -> 971
0.011,0.791,997 970 -> 971
0.024,0.777,971 970 -> 978
0.016,0.775,997 978 974 -> 971
0.018,0.767,977 974 -> 978
0.018,0.766,977 974 -> 971
0.011,0.754,997 977 -> 971
0.032,0.754,978 974 -> 971
0.013,0.752,974 973 -> 978
0.010,0.751,997 970 -> 974
0.011,0.746,973 970 -> 978 971
0.011,0.746,997 977 -> 978
0.011,0.737,977 978 970 -> 974
0.011,0.734,977 971 970 -> 974
0.013,0.731,977 970 -> 978 971
0.026,0.731,997 978 -> 971
0.010,0.730,976 978 -> 970
0.016,0.728,997 974 971 -> 978
0.021,0.727,977 971 -> 978
0.011,0.726,997 977 -> 974
0.012,0.720,977 970 -> 974
0.012,0.716,976 971 -> 978
0.017,0.687,976 -> 971
0.032,0.685,970 -> 971
0.014,0.683,977 978 971 -> 974
0.014,0.682,974 970 -> 978 971
0.012,0.680,974 973 -> 978 971
0.011,0.662,972 971 -> 978
0.018,0.661,977 978 -> 974
0.017,0.661,972 -> 971
0.030,0.660,970 -> 978
0.011,0.648,978 974 970 -> 977
0.022,0.644,997 974 -> 971
0.014,0.634,977 974 -> 978 971
0.011,0.632,974 971 970 -> 977
0.011,0.631,977 970 -> 978 974
0.029,0.625,977 -> 971
0.011,0.624,977 978 974 -> 970
0.010,0.608,976 971 -> 970
0.011,0.608,977 970 -> 974 971
0.016,0.608,997 978 971 -> 974
0.021,0.605,997 974 -> 978
0.032,0.601,974 971 -> 978
0.011,0.601,977 974 971 -> 970
0.018,0.601,977 971 -> 974
0.012,0.600,974 970 -> 977
0.013,0.598,977 978 971 -> 970
0.014,0.579,978 971 970 -> 974
0.021,0.573,997 978 -> 974
0.014,0.570,976 -> 978
0.026,0.568,977 -> 978
0.086,0.562,978 -> 971
0.015,0.560,977 978 -> 970
0.017,0.555,978 970 -> 974
0.014,0.546,977 978 -> 974 971
0.012,0.546,977 974 -> 970
0.024,0.532,970 -> 978 971
0.054,0.530,974 -> 971
0.017,0.528,971 970 -> 974
0.011,0.526,974 970 -> 977 978
0.012,0.524,978 973 971 -> 974
0.013,0.517,978 971 970 -> 977
0.013,0.509,972 -> 978
0.011,0.507,974 970 -> 977 971
0.026,0.500,997 971 -> 978
0.011,0.498,978 973 971 -> 970
0.014,0.497,977 971 -> 978 974
0.013,0.495,978 973 -> 974
0.016,0.494,978 974 971 -> 997
0.014,0.492,977 971 -> 970
0.012,0.491,976 -> 978 971
0.023,0.490,977 -> 974
0.015,0.488,978 970 -> 977
0.010,0.484,974 970 -> 997
0.050,0.482,973 -> 971
0.021,0.480,978 974 -> 997
0.011,0.478,977 974 -> 978 970
0.013,0.478,977 978 -> 971 970
0.012,0.476,976 -> 970
0.053,0.473,997 -> 971
0.013,0.471,978 973 -> 970
0.016,0.469,997 974 -> 978 971
0.014,0.466,978 970 -> 974 971
0.011,0.465,977 974 -> 997
0.011,0.462,978 971 970 -> 973
0.011,0.461,977 974 -> 971 970
0.014,0.455,971 970 -> 977
0.021,0.454,977 -> 978 971
0.023,0.452,973 971 -> 978
0.021,0.452,970 -> 974
